ids,label,COIPLUS Description,LCF CODE,Description,Divisional Code,Divisional Description,documents
235,11.1.1.2.7,Hot take-away meal eaten at home,1.3.1.1.4,"            Fish products eg fish cakes, scampi, fish burgers",1,Food and non-alcoholic beverages,"Hot take-away meal eaten at home,             Fish products eg fish cakes, scampi, fish burgers, Food and non-alcoholic beverages"
236,11.1.1.2.7,Hot take-away meal eaten at home,1.3.1.2.1,            Chips eg from chip shop,1,Food and non-alcoholic beverages,"Hot take-away meal eaten at home,             Chips eg from chip shop, Food and non-alcoholic beverages"
237,11.1.1.2.7,Hot take-away meal eaten at home,1.3.1.2.2,"            Cooked rice eg boiled rice, fried rice, pilau rice",1,Food and non-alcoholic beverages,"Hot take-away meal eaten at home,             Cooked rice eg boiled rice, fried rice, pilau rice, Food and non-alcoholic beverages"
238,11.1.1.2.7,Hot take-away meal eaten at home,1.3.1.2.3,            Pasta & noodles,1,Food and non-alcoholic beverages,"Hot take-away meal eaten at home,             Pasta & noodles, Food and non-alcoholic beverages"
239,11.1.1.2.7,Hot take-away meal eaten at home,1.3.1.2.4,"            Breads eg garlic bread, nan, chapati, rolls",1,Food and non-alcoholic beverages,"Hot take-away meal eaten at home,             Breads eg garlic bread, nan, chapati, rolls, Food and non-alcoholic beverages"
240,11.1.1.2.8,Cold take-away meal eaten at home,1.3.1.2.5,"            Cakes, pastries, buns, biscuits etc incl cake, sponge pudding, doughnut, custard, rice pud",1,Food and non-alcoholic beverages,"Cold take-away meal eaten at home,             Cakes, pastries, buns, biscuits etc incl cake, sponge pudding, doughnut, custard, rice pud, Food and non-alcoholic beverages"
241,11.1.1.2.7,Hot take-away meal eaten at home,1.3.1.3.1,"            Burger & bun eg hamburger, cheeseburger, chicken burger",1,Food and non-alcoholic beverages,"Hot take-away meal eaten at home,             Burger & bun eg hamburger, cheeseburger, chicken burger, Food and non-alcoholic beverages"
242,11.1.1.2.7,Hot take-away meal eaten at home,1.3.1.3.2,"            Kebabs eg doner kebab, shish kebab, chicken kebab",1,Food and non-alcoholic beverages,"Hot take-away meal eaten at home,             Kebabs eg doner kebab, shish kebab, chicken kebab, Food and non-alcoholic beverages"
243,11.1.1.2.7,Hot take-away meal eaten at home,1.3.1.3.3,            Sausages & saveloys,1,Food and non-alcoholic beverages,"Hot take-away meal eaten at home,             Sausages & saveloys, Food and non-alcoholic beverages"
244,11.1.1.2.7,Hot take-away meal eaten at home,1.3.1.3.4,"            Miscellaneous meats eg faggots, haggis, pepperami",1,Food and non-alcoholic beverages,"Hot take-away meal eaten at home,             Miscellaneous meats eg faggots, haggis, pepperami, Food and non-alcoholic beverages"
245,11.1.1.2.7,Hot take-away meal eaten at home,1.3.1.4.1,"            Meat-based meals incl Indian & Chinese takeaways eg Beef curry, chicken curry, chicken tikka, chow mein",1,Food and non-alcoholic beverages,"Hot take-away meal eaten at home,             Meat-based meals incl Indian & Chinese takeaways eg Beef curry, chicken curry, chicken tikka, chow mein, Food and non-alcoholic beverages"
246,11.1.1.2.7,Hot take-away meal eaten at home,1.3.1.4.2,            Fish-based meals incl Indian & Chinese takeaways eg prawn curry,1,Food and non-alcoholic beverages,"Hot take-away meal eaten at home,             Fish-based meals incl Indian & Chinese takeaways eg prawn curry, Food and non-alcoholic beverages"
247,11.1.1.2.7,Hot take-away meal eaten at home,1.3.1.5.1,"            All veg takeaway products eg veg curry, onion bhajis, spring rolls, veg samosas, salad, coleslaw, peas",1,Food and non-alcoholic beverages,"Hot take-away meal eaten at home,             All veg takeaway products eg veg curry, onion bhajis, spring rolls, veg samosas, salad, coleslaw, peas, Food and non-alcoholic beverages"
248,11.1.1.2.7,Hot take-away meal eaten at home,1.3.1.6.1,            Pizza - takeaway and home delivery,1,Food and non-alcoholic beverages,"Hot take-away meal eaten at home,             Pizza - takeaway and home delivery, Food and non-alcoholic beverages"
249,11.1.1.2.8,Cold take-away meal eaten at home,1.3.1.7.1,            Takeaway sandwiches,1,Food and non-alcoholic beverages,"Cold take-away meal eaten at home,             Takeaway sandwiches, Food and non-alcoholic beverages"
250,11.1.1.2.8,Cold take-away meal eaten at home,1.3.1.8.1,            Confectionery (sweets and chocolate),1,Food and non-alcoholic beverages,"Cold take-away meal eaten at home,             Confectionery (sweets and chocolate), Food and non-alcoholic beverages"
251,11.1.1.2.8,Cold take-away meal eaten at home,1.3.1.8.2,"            Crisps, savoury snacks, popcorn, popadums, prawn crackers",1,Food and non-alcoholic beverages,"Cold take-away meal eaten at home,             Crisps, savoury snacks, popcorn, popadums, prawn crackers, Food and non-alcoholic beverages"
252,11.1.1.2.8,Cold take-away meal eaten at home,1.3.1.8.3,"            Ice cream, ice cream products, milkshakes, jellies etc",1,Food and non-alcoholic beverages,"Cold take-away meal eaten at home,             Ice cream, ice cream products, milkshakes, jellies etc, Food and non-alcoholic beverages"
253,11.1.1.2.7,Hot take-away meal eaten at home,1.3.1.8.4,"            Sauces, mayonnaise eg curry sauce",1,Food and non-alcoholic beverages,"Hot take-away meal eaten at home,             Sauces, mayonnaise eg curry sauce, Food and non-alcoholic beverages"
254,11.1.1.2.7,Hot take-away meal eaten at home,1.3.1.8.5,            Soups,1,Food and non-alcoholic beverages,"Hot take-away meal eaten at home,             Soups, Food and non-alcoholic beverages"
255,11.1.1.2.7,Hot take-away meal eaten at home,1.3.1.8.6,            Tea/ coffee - hot drink,1,Food and non-alcoholic beverages,"Hot take-away meal eaten at home,             Tea/ coffee - hot drink, Food and non-alcoholic beverages"
256,11.1.1.2.8,Cold take-away meal eaten at home,1.3.1.8.7,            Other takeaway food brought home,1,Food and non-alcoholic beverages,"Cold take-away meal eaten at home,             Other takeaway food brought home, Food and non-alcoholic beverages"
257,11.1.1.2.7,Hot take-away meal eaten at home,1.3.1.9.1,            Meals on wheels - not specified/ no detail given,1,Food and non-alcoholic beverages,"Hot take-away meal eaten at home,             Meals on wheels - not specified/ no detail given, Food and non-alcoholic beverages"
258,2.1.1.1.1,Spirits and liqueurs (brought home),1.4.1.1.1,"            Spirits eg gin, vodka, whiskey",1,"Alcoholic beverages, tobacco and narcotics","Spirits and liqueurs (brought home),             Spirits eg gin, vodka, whiskey, Alcoholic beverages, tobacco and narcotics"
259,2.1.1.1.1,Spirits and liqueurs (brought home),1.4.1.1.2,            Liquers & cocktails ,2,"Alcoholic beverages, tobacco and narcotics","Spirits and liqueurs (brought home),             Liquers & cocktails , Alcoholic beverages, tobacco and narcotics"
260,2.1.1.1.1,Spirits and liqueurs (brought home),1.4.1.1.3,            Spirits with mixer eg ready-to-drink gin & tonic,2,"Alcoholic beverages, tobacco and narcotics","Spirits and liqueurs (brought home),             Spirits with mixer eg ready-to-drink gin & tonic, Alcoholic beverages, tobacco and narcotics"
261,2.1.2.1.1,Wine from grape or other fruit (brought home),1.4.2.1.1,            Table wine incl wine not specified,2,"Alcoholic beverages, tobacco and narcotics","Wine from grape or other fruit (brought home),             Table wine incl wine not specified, Alcoholic beverages, tobacco and narcotics"
262,2.1.2.2.1,Champagne and sparkling wines (brought home),1.4.2.1.2,            Champagne & sparkling wines; wine with mixer,2,"Alcoholic beverages, tobacco and narcotics","Champagne and sparkling wines (brought home),             Champagne & sparkling wines; wine with mixer, Alcoholic beverages, tobacco and narcotics"
263,2.1.2.1.1,Wine from grape or other fruit (brought home),1.4.2.1.3,"            Fortified wine - port, sherry, vermouth, martini",2,"Alcoholic beverages, tobacco and narcotics","Wine from grape or other fruit (brought home),             Fortified wine - port, sherry, vermouth, martini, Alcoholic beverages, tobacco and narcotics"
264,2.1.2.1.3,Ciders and Perry (brought home),1.4.2.1.4,            Ciders and Perry,2,"Alcoholic beverages, tobacco and narcotics","Ciders and Perry (brought home),             Ciders and Perry, Alcoholic beverages, tobacco and narcotics"
265,2.1.2.1.4,Alcopops (brought home),1.4.2.1.5,"            Alcopops, alcoholic soft drinks",2,"Alcoholic beverages, tobacco and narcotics","Alcopops (brought home),             Alcopops, alcoholic soft drinks, Alcoholic beverages, tobacco and narcotics"
266,2.1.3.1.1,Beer and lager (brought home),1.4.3.1.1,"            Beers incl pale ale, stout ",2,"Alcoholic beverages, tobacco and narcotics","Beer and lager (brought home),             Beers incl pale ale, stout , Alcoholic beverages, tobacco and narcotics"
267,2.1.3.1.1,Beer and lager (brought home),1.4.3.1.2,            Lagers & continental beers,2,"Alcoholic beverages, tobacco and narcotics","Beer and lager (brought home),             Lagers & continental beers, Alcoholic beverages, tobacco and narcotics"
268,10.1.1.1.1,Pre-primary and primary education: (Fees/maintenance for educational courses),10.1.1.1.1,            Nursery/ primary school fees for household member,10,Education,"Pre-primary and primary education: (Fees/maintenance for educational courses),             Nursery/ primary school fees for household member, Education"
269,10.1.1.1.2,Pre-primary and primary education: (Fees/maintenance for non-household member),10.1.1.1.2,            Nursery/ primary school fees for non-household member,10,Education,"Pre-primary and primary education: (Fees/maintenance for non-household member),             Nursery/ primary school fees for non-household member, Education"
270,10.1.1.1.3,"Pre-primary and primary education: (payments for school trips, other ad hoc school expenditure)",10.1.1.1.3,            Other ad hoc nursery/primary school expenditure eg school trips,10,Education,"Pre-primary and primary education: (payments for school trips, other ad hoc school expenditure),             Other ad hoc nursery/primary school expenditure eg school trips, Education"
271,10.2.1.1.1,Secondary education: (Fees/maintenance for educational courses),10.2.1.1.1,            Secondary school fees for household member,10,Education,"Secondary education: (Fees/maintenance for educational courses),             Secondary school fees for household member, Education"
272,10.2.1.1.2,Secondary education: (Fees/maintenance for non-household member),10.2.1.1.2,            Secondary school fees for non-household member,10,Education,"Secondary education: (Fees/maintenance for non-household member),             Secondary school fees for non-household member, Education"
273,10.2.1.1.3,"Secondary education: (payments for school trips, other ad hoc school expenditure)",10.2.1.1.3,"            Other ad hoc secondary school expenditure eg baking ingredients, school trips",10,Education,"Secondary education: (payments for school trips, other ad hoc school expenditure),             Other ad hoc secondary school expenditure eg baking ingredients, school trips, Education"
274,10.3.1.1.1,Further education: (Fees/maintenance for educational courses),10.3.1.1.1,            College fees for household member,10,Education,"Further education: (Fees/maintenance for educational courses),             College fees for household member, Education"
275,10.3.1.1.2,Further education: (Fees/maintenance for non-household member),10.3.1.1.2,            College fees for non-household member,10,Education,"Further education: (Fees/maintenance for non-household member),             College fees for non-household member, Education"
276,10.3.1.1.3,"Further education: (payments for school trips, other ad hoc school expenditure)",10.3.1.1.3,            Other ad hoc college expenditure,10,Education,"Further education: (payments for school trips, other ad hoc school expenditure),             Other ad hoc college expenditure, Education"
277,10.4.1.1.1,Higher education: (Fees/maintenance for educational courses),10.4.1.1.1,            College/ Univ fees for household member,10,Education,"Higher education: (Fees/maintenance for educational courses),             College/ Univ fees for household member, Education"
278,10.4.1.1.2,Higher education: (Fees/maintenance for non-household member),10.4.1.1.2,            College/ Univ fees for non-household member,10,Education,"Higher education: (Fees/maintenance for non-household member),             College/ Univ fees for non-household member, Education"
279,10.4.1.1.3,"Higher education: (payments for school trips, other ad hoc school expenditure)",10.4.1.1.3,            Other ad hoc college/Univ expenditure,10,Education,"Higher education: (payments for school trips, other ad hoc school expenditure),             Other ad hoc college/Univ expenditure, Education"
280,10.5.1.1.1,Education not definable by level: (Fees/maintenance for educational courses),10.5.1.1.1,            Fees for household member,10,Education,"Education not definable by level: (Fees/maintenance for educational courses),             Fees for household member, Education"
281,10.5.1.1.2,Education not definable by level: (Fees/maintenance for non-household member),10.5.1.1.2,            Fees for non-household member,10,Education,"Education not definable by level: (Fees/maintenance for non-household member),             Fees for non-household member, Education"
282,10.5.1.1.3,"Education not definable by level: (payments for school trips, other ad hoc school expenditure)",10.5.1.1.3,            Other ad hoc expenditure,10,Education,"Education not definable by level: (payments for school trips, other ad hoc school expenditure),             Other ad hoc expenditure, Education"
283,11.1.1.2.11,Contract catering (food),11.1.1.2.11,"            Catering services eg for wedding, funeral, party,etc",11,Restaurants and hotels,"Contract catering (food),             Catering services eg for wedding, funeral, party,etc, Restaurants and hotels"
284,11.2.1.1.1,"Holidays in UK (accommodation), excluding timeshares",11.2.1.1.1,            Holidays in UK (accommodation),11,Restaurants and hotels,"Holidays in UK (accommodation), excluding timeshares,             Holidays in UK (accommodation), Restaurants and hotels"
285,11.2.1.1.2,"Holidays abroad (accommodation), excluding timeshares",11.2.1.1.2,            Holidays abroad (accommodation),11,Restaurants and hotels,"Holidays abroad (accommodation), excluding timeshares,             Holidays abroad (accommodation), Restaurants and hotels"
286,11.2.1.1.3,Timeshares/holiday homes overseas (purchase and running costs),11.2.1.1.3,            Timeshares & holiday homes abroad - purchase & running,11,Restaurants and hotels,"Timeshares/holiday homes overseas (purchase and running costs),             Timeshares & holiday homes abroad - purchase & running, Restaurants and hotels"
287,11.2.1.1.4,Room hire,11.2.1.1.4,"            Room hire eg function room, band room",11,Restaurants and hotels,"Room hire,             Room hire eg function room, band room, Restaurants and hotels"
288,12.1.1.1.1,"Hairdressing, salons and personal grooming establishment (excluding health and slimming clubs)",12.1.1.1.1,"            Hairdressing, salons, personal grooming, sunbed",12,Miscellaneous goods and services,"Hairdressing, salons and personal grooming establishment (excluding health and slimming clubs),             Hairdressing, salons, personal grooming, sunbed, Miscellaneous goods and services"
289,12.1.2.1.1,"Electrical appliances for personal care, including hair dryers, shavers etc",12.1.2.1.1,"            Electrical items for personal care eg hair drier, shaver",12,Miscellaneous goods and services,"Electrical appliances for personal care, including hair dryers, shavers etc,             Electrical items for personal care eg hair drier, shaver, Miscellaneous goods and services"
290,12.1.3.1.1,Toilet paper,12.1.3.1.1,            Toilet paper,12,Miscellaneous goods and services,"Toilet paper,             Toilet paper, Miscellaneous goods and services"
291,12.1.3.1.2,"Toiletries (disposable including tampons, lipsyl, toothpaste, deodorant, paper handkerchiLCF)",12.1.3.1.2,"            Toiletries (disposable) eg toothpaste, cotton buds, tissue",12,Miscellaneous goods and services,"Toiletries (disposable including tampons, lipsyl, toothpaste, deodorant, paper handkerchiLCF),             Toiletries (disposable) eg toothpaste, cotton buds, tissue, Miscellaneous goods and services"
292,12.1.3.1.3,"Bar of soap, liquid soap, shower gel etc",12.1.3.1.3,"            Toilet Soap, liquid soap, shower gel etc",12,Miscellaneous goods and services,"Bar of soap, liquid soap, shower gel etc,             Toilet Soap, liquid soap, shower gel etc, Miscellaneous goods and services"
293,12.1.3.1.4,"Toilet requisites (durable including razors, hairbrushes, toothbrushes, face cloths, scales etc)",12.1.3.1.4,"            Toilet requisities (durable) eg toothbrush, comb, razor",12,Miscellaneous goods and services,"Toilet requisites (durable including razors, hairbrushes, toothbrushes, face cloths, scales etc),             Toilet requisities (durable) eg toothbrush, comb, razor, Miscellaneous goods and services"
294,12.1.3.1.5,Hair products,12.1.3.1.5,"            Hair Products eg shampoo, hairspray",12,Miscellaneous goods and services,"Hair products,             Hair Products eg shampoo, hairspray, Miscellaneous goods and services"
295,12.1.3.1.6,Cosmetics and related accessories,12.1.3.1.6,"            Cosmetics and related accessories eg bath oil, after shave",12,Miscellaneous goods and services,"Cosmetics and related accessories,             Cosmetics and related accessories eg bath oil, after shave, Miscellaneous goods and services"
296,12.1.3.1.7,Baby toiletries and accessories (disposable),12.1.3.1.7,"            Baby toiletries and accessories inc nappies, bubble bath",12,Miscellaneous goods and services,"Baby toiletries and accessories (disposable),             Baby toiletries and accessories inc nappies, bubble bath, Miscellaneous goods and services"
297,12.2.1.1.1,Prostitution,12.2.1.1.1,            Prostitution,12,Miscellaneous goods and services,"Prostitution,             Prostitution, Miscellaneous goods and services"
298,12.3.1.1.1,"Jewellery, clocks and watches",12.3.1.1.1,"            Jewellery, clocks and watches eg earrings, bracelet",12,Miscellaneous goods and services,"Jewellery, clocks and watches,             Jewellery, clocks and watches eg earrings, bracelet, Miscellaneous goods and services"
299,12.3.1.1.2,Repairs to personal goods,12.3.1.1.2,"            Repairs to personal goods eg watch, jewellery, bag",12,Miscellaneous goods and services,"Repairs to personal goods,             Repairs to personal goods eg watch, jewellery, bag, Miscellaneous goods and services"
300,12.3.2.1.1,Leather and travel goods (excluding baby items),12.3.2.1.1,"            Leather and travel goods eg handbag, wallet",12,Miscellaneous goods and services,"Leather and travel goods (excluding baby items),             Leather and travel goods eg handbag, wallet, Miscellaneous goods and services"
301,12.3.2.2.1,Other personal effects n.e.c,12.3.2.2.1,"            Personal goods not otherwise specified eg pipe, sunglasses, umbrella",12,Miscellaneous goods and services,"Other personal effects n.e.c,             Personal goods not otherwise specified eg pipe, sunglasses, umbrella, Miscellaneous goods and services"
302,12.3.2.2.2,Baby equipment (excluding prams and pushchairs),12.3.2.2.2,"            Baby equipment eg carrycot, car seat, potty",12,Miscellaneous goods and services,"Baby equipment (excluding prams and pushchairs),             Baby equipment eg carrycot, car seat, potty, Miscellaneous goods and services"
303,12.3.2.2.3,"Prams, pram accessories and pushchairs",12.3.2.2.3,"            Prams, pram accessories and pushchairs",12,Miscellaneous goods and services,"Prams, pram accessories and pushchairs,             Prams, pram accessories and pushchairs, Miscellaneous goods and services"
304,12.3.2.2.4,Sunglasses (non-prescription),12.3.2.2.4,            Sunglasses (non-prescription ),12,Miscellaneous goods and services,"Sunglasses (non-prescription),             Sunglasses (non-prescription ), Miscellaneous goods and services"
305,12.4.1.1.1,Residential homes,12.4.1.1.1,"            Residential home fees for elderly, sick, blind",12,Miscellaneous goods and services,"Residential homes,             Residential home fees for elderly, sick, blind, Miscellaneous goods and services"
306,12.4.1.1.2,Home help,12.4.1.1.2,"            Home help, home care assistant",12,Miscellaneous goods and services,"Home help,             Home help, home care assistant, Miscellaneous goods and services"
307,12.4.1.2.1,"Nursery, crèche and playschool",12.4.1.2.1,"            Nursery, creche and playschool",12,Miscellaneous goods and services,"Nursery, crèche and playschool,             Nursery, creche and playschool, Miscellaneous goods and services"
308,12.4.1.2.2,Child care payments,12.4.1.2.2,            Child care payments,12,Miscellaneous goods and services,"Child care payments,             Child care payments, Miscellaneous goods and services"
309,12.5.1.1.1,"Life, death, non-house endowment",12.5.1.1.1,            Life Insurance,12,Miscellaneous goods and services,"Life, death, non-house endowment,             Life Insurance, Miscellaneous goods and services"
310,12.5.2.1.1,Structural Insurance,12.5.2.1.1,            Structural insurance (primary dwelling),12,Miscellaneous goods and services,"Structural Insurance,             Structural insurance (primary dwelling), Miscellaneous goods and services"
311,12.5.2.1.2,Contents insurance,12.5.2.1.2,            Contents insurance (primary dwelling personal possession insurance),12,Miscellaneous goods and services,"Contents insurance,             Contents insurance (primary dwelling personal possession insurance), Miscellaneous goods and services"
312,12.5.2.1.3,Insurance for household appliances,12.5.2.1.3,"            Insurance for household appliances and extended warranties eg freezer, cooker",12,Miscellaneous goods and services,"Insurance for household appliances,             Insurance for household appliances and extended warranties eg freezer, cooker, Miscellaneous goods and services"
313,12.5.3.1.1,Private medical insurance,12.5.3.1.1,"            Medical insurance, dental insurance",12,Miscellaneous goods and services,"Private medical insurance,             Medical insurance, dental insurance, Miscellaneous goods and services"
314,12.5.3.1.1,Private medical insurance,12.5.3.1.2,"            Accident insurance, sickness insurance, sports & animal insurance",12,Miscellaneous goods and services,"Private medical insurance,             Accident insurance, sickness insurance, sports & animal insurance, Miscellaneous goods and services"
315,12.5.4.1.1,Vehicle insurance,12.5.4.1.1,"            Vehicle insurance, car insurance",12,Miscellaneous goods and services,"Vehicle insurance,             Vehicle insurance, car insurance, Miscellaneous goods and services"
316,12.5.4.1.2,Boat insurance (not home),12.5.4.1.2,            Boat insurance (not if boat is used as home),12,Miscellaneous goods and services,"Boat insurance (not home),             Boat insurance (not if boat is used as home), Miscellaneous goods and services"
317,12.5.4.1.3,"Non-package holiday, other travel insurance",12.5.4.1.3,            Travel/ holiday insurance - not insurance for package holidays,12,Miscellaneous goods and services,"Non-package holiday, other travel insurance,             Travel/ holiday insurance - not insurance for package holidays, Miscellaneous goods and services"
318,12.5.5.1.1,Other insurance,12.5.5.1.1,            Other insurance,12,Miscellaneous goods and services,"Other insurance,             Other insurance, Miscellaneous goods and services"
319,12.6.2.1.1,Bank service charges,12.6.2.1.1,            Bank service charges,12,Miscellaneous goods and services,"Bank service charges,             Bank service charges, Miscellaneous goods and services"
320,12.6.2.1.2,Bank and Post Office counter charges,12.6.2.1.2,            Bank & Post Office counter charges,12,Miscellaneous goods and services,"Bank and Post Office counter charges,             Bank & Post Office counter charges, Miscellaneous goods and services"
321,12.6.2.1.3,Credit card etc annual standing charge payment,12.6.2.1.3,            Credit card annual standing charge payment,12,Miscellaneous goods and services,"Credit card etc annual standing charge payment,             Credit card annual standing charge payment, Miscellaneous goods and services"
322,12.6.2.1.4,Commission travellers' cheques and currency,12.6.2.1.4,            Commission on travellers cheques and currency,12,Miscellaneous goods and services,"Commission travellers' cheques and currency,             Commission on travellers cheques and currency, Miscellaneous goods and services"
323,12.7.1.1.1,Legal fees paid to banks,12.7.1.1.1,            Legal fees paid to banks,12,Miscellaneous goods and services,"Legal fees paid to banks,             Legal fees paid to banks, Miscellaneous goods and services"
324,12.7.1.1.2,Legal fees paid to solicitors,12.7.1.1.2,            Legal fees paid to solicitors,12,Miscellaneous goods and services,"Legal fees paid to solicitors,             Legal fees paid to solicitors, Miscellaneous goods and services"
325,12.7.1.1.3,Other payments for services eg photocopying,12.7.1.1.3,"            Other services eg photocopying, newspaper advert",12,Miscellaneous goods and services,"Other payments for services eg photocopying,             Other services eg photocopying, newspaper advert, Miscellaneous goods and services"
326,12.7.1.1.4,Funeral expenses,12.7.1.1.4,            Funeral expenses,12,Miscellaneous goods and services,"Funeral expenses,             Funeral expenses, Miscellaneous goods and services"
327,12.7.1.1.5,Other professional fees incl court fines,12.7.1.1.5,            Other professional fees inc court fines,12,Miscellaneous goods and services,"Other professional fees incl court fines,             Other professional fees inc court fines, Miscellaneous goods and services"
328,12.7.1.1.6,TU and professional organisations,12.7.1.1.6,            Trade Union and professional organisations,12,Miscellaneous goods and services,"TU and professional organisations,             Trade Union and professional organisations, Miscellaneous goods and services"
329,12.7.1.1.7,"Conveyancing, estate agents, surveyors",12.7.1.1.7,"            Conveyancing, estate agents, surveyors, moving house",12,Miscellaneous goods and services,"Conveyancing, estate agents, surveyors,             Conveyancing, estate agents, surveyors, moving house, Miscellaneous goods and services"
330,2.2.1.1.1,Cigarettes,2.1.1.1.1,            Cigarettes & cigarette papers,2,"Alcoholic beverages, tobacco and narcotics","Cigarettes,             Cigarettes & cigarette papers, Alcoholic beverages, tobacco and narcotics"
331,2.2.1.2.1,Cigars,2.1.1.2.1,            Cigars & snuff,2,"Alcoholic beverages, tobacco and narcotics","Cigars,             Cigars & snuff, Alcoholic beverages, tobacco and narcotics"
332,2.2.1.3.1,Other tobacco,2.1.1.3.1,"            Other tobacco eg pipe tobacco, hand-rolled, chewing",2,"Alcoholic beverages, tobacco and narcotics","Other tobacco,             Other tobacco eg pipe tobacco, hand-rolled, chewing, Alcoholic beverages, tobacco and narcotics"
333,2.3.1.1.1,Narcotics,2.2.1.1.1,            Narcotics & drugs,2,"Alcoholic beverages, tobacco and narcotics","Narcotics,             Narcotics & drugs, Alcoholic beverages, tobacco and narcotics"
334,20.1.1.1.1,Mortgage instalment payment,20.1.1.1.1,            Mortgage instalment payment (main dwelling),20,Non-consumption expenditure,"Mortgage instalment payment,             Mortgage instalment payment (main dwelling), Non-consumption expenditure"
335,20.1.1.1.2,Mortgage endowment payment,20.1.1.1.2,            Mortgage endowment payment (main dwelling),20,Non-consumption expenditure,"Mortgage endowment payment,             Mortgage endowment payment (main dwelling), Non-consumption expenditure"
336,20.1.1.1.3,Mortgage protection policy,20.1.1.1.3,            Mortgage protection policy (main dwelling),20,Non-consumption expenditure,"Mortgage protection policy,             Mortgage protection policy (main dwelling), Non-consumption expenditure"
337,20.1.1.1.4,"Council Tax (GB), Rates (NI)",20.1.1.1.4,"            Council Tax (GB), Rates (NI)- main dwelling",20,Non-consumption expenditure,"Council Tax (GB), Rates (NI),             Council Tax (GB), Rates (NI)- main dwelling, Non-consumption expenditure"
338,20.1.2.1.1,Outright purchase of deposit on main dwelling,20.1.2.1.1,            Outright purchase of deposit on main dwelling,20,Non-consumption expenditure,"Outright purchase of deposit on main dwelling,             Outright purchase of deposit on main dwelling, Non-consumption expenditure"
339,20.1.3.1.1,Central heating installation (contractor),20.1.3.1.1,            Central heating installation (contractor),20,Non-consumption expenditure,"Central heating installation (contractor),             Central heating installation (contractor), Non-consumption expenditure"
340,20.1.3.1.2,Capital improvements (contractor),20.1.3.1.2,            Capital improvements (contractor),20,Non-consumption expenditure,"Capital improvements (contractor),             Capital improvements (contractor), Non-consumption expenditure"
341,20.1.3.1.3,Central heating installation (DIY),20.1.3.1.3,            Central heating installation (DIY),20,Non-consumption expenditure,"Central heating installation (DIY),             Central heating installation (DIY), Non-consumption expenditure"
342,20.1.3.1.4,"Double Glazing, Kitchen Units, Sheds etc (DIY)",20.1.3.1.4,"            Double glazing, kitchen units, sheds etc",20,Non-consumption expenditure,"Double Glazing, Kitchen Units, Sheds etc (DIY),             Double glazing, kitchen units, sheds etc, Non-consumption expenditure"
343,20.1.3.1.5,Purchase of materials for Capital Improvements,20.1.3.1.5,"            Purchase of materials for capital improvements eg bricks, slates, etc",20,Non-consumption expenditure,"Purchase of materials for Capital Improvements,             Purchase of materials for capital improvements eg bricks, slates, etc, Non-consumption expenditure"
344,20.1.3.1.6,Bathroom fittings,20.1.3.1.6,"            Bathroom fittings eg bath, taps, toilet seat",20,Non-consumption expenditure,"Bathroom fittings,             Bathroom fittings eg bath, taps, toilet seat, Non-consumption expenditure"
345,20.1.4.1.1,Purchase of second dwelling,20.1.4.1.1,            Purchase of second dwelling,20,Non-consumption expenditure,"Purchase of second dwelling,             Purchase of second dwelling, Non-consumption expenditure"
346,20.1.4.1.2,"Council tax, mortgage, insurance (secondary dwelling)",20.1.4.1.2,"            Council tax, mortgage, structural & contents insurance",20,Non-consumption expenditure,"Council tax, mortgage, insurance (secondary dwelling),             Council tax, mortgage, structural & contents insurance, Non-consumption expenditure"
347,20.2.1.1.1,"Food stamps, other food related expenditure",20.2.1.1.1,            Food stamps,20,Non-consumption expenditure,"Food stamps, other food related expenditure,             Food stamps, Non-consumption expenditure"
348,20.3.1.1.1,"Stamp duty, licences and fines (excluding motoring fines)",20.3.1.1.1,"            Stamp duty, licences, fines (excl motoring fines)",20,Non-consumption expenditure,"Stamp duty, licences and fines (excluding motoring fines),             Stamp duty, licences, fines (excl motoring fines), Non-consumption expenditure"
349,20.3.1.1.2,Motoring Fines,20.3.1.1.2,"            Motoring fines eg speeding fine, parking fine",20,Non-consumption expenditure,"Motoring Fines,             Motoring fines eg speeding fine, parking fine, Non-consumption expenditure"
350,20.3.1.1.3,Vehicle tax,20.3.1.1.3,"            Vehicle tax eg road tax, car tax, car tax stamp",20,Non-consumption expenditure,"Vehicle tax,             Vehicle tax eg road tax, car tax, car tax stamp, Non-consumption expenditure"
351,20.4.1.1.1,Money spent abroad,20.4.1.1.1,            Money spent abroad,20,Non-consumption expenditure,"Money spent abroad,             Money spent abroad, Non-consumption expenditure"
352,20.4.1.1.2,Duty free goods bought in UK,20.4.1.1.2,            Duty free bought in UK,20,Non-consumption expenditure,"Duty free goods bought in UK,             Duty free bought in UK, Non-consumption expenditure"
353,20.5.1.1.1,"Savings, investments (exc AVCs)",20.5.1.1.1,"            Savings, investments (excl AVCs)",20,Non-consumption expenditure,"Savings, investments (exc AVCs),             Savings, investments (excl AVCs), Non-consumption expenditure"
354,20.5.1.1.2,Private personal pension,20.5.1.1.2,            Private personal pension,20,Non-consumption expenditure,"Private personal pension,             Private personal pension, Non-consumption expenditure"
355,20.5.1.1.3,Additional Voluntary Contributions,20.5.1.1.3,            Additional Voluntary Contributions,20,Non-consumption expenditure,"Additional Voluntary Contributions,             Additional Voluntary Contributions, Non-consumption expenditure"
